method,bits_per_key,incoming_attempts_per_second,backend_invocations_per_second,worker_utilization,p50_wait_ms,p95_wait_ms,p99_wait_ms,fraction_wait_gt_1s,valid_drop_rate_for_rate_limit_baselines,raw_invalid_forward_rate
TRAPS+ReplayCache,16.0,550.0,44.07871734562591,0.6725861282975694,0.0,70.96584880439767,145.9718667799382,4.798966119663172e-10,0.0,0.0001555678767310421
Peppered tag,16.0,550.0,44.007720947265625,0.6715028120040893,0.0,70.41698765446043,145.17565117963966,4.4700701616308923e-10,0.0,1.5258789062499998e-05
Adaptive tag,16.0,550.0,44.00523781301302,0.6714649224793124,0.0,70.39784176917985,145.14788347456647,4.458984147028604e-10,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,550.0,43.99830233154297,0.6713590957014314,0.0,70.34438475037594,145.07035594002127,4.4281659381917027e-10,0.0001,5.340576171874997e-06
Global Bloom,16.0,575.0,46.242619770677244,0.7056045744258215,0.0,89.21433089444024,172.63278312907244,4.177520275740753e-09,0.0,0.0004586385078964976
TRAPS learned,16.0,575.0,46.16459081358144,0.7044139500767359,0.0,88.4989339390316,171.58137559258472,3.863945755957119e-09,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,575.0,46.08229540679073,0.7031582250383681,0.0,87.74958832371188,170.48056764603962,3.558693457383391e-09,0.0,0.0001555678767310421
Peppered tag,16.0,575.0,46.00807189941406,0.7020256670951843,0.0,87.0782335767254,169.49476424548803,3.3041193033567657e-09,0.0,1.5258789062499998e-05
Adaptive tag,16.0,575.0,46.0054758954227,0.7019860553192812,0.0,87.05482904368804,169.46040497290966,3.2955529204503225e-09,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,575.0,45.998225164794924,0.7018754182333146,0.0,86.98948659566985,169.36448097158856,3.271744173667516e-09,0.0001,5.340576171874997e-06
Global Bloom,16.0,600.0,48.253168456358864,0.7362830341834659,0.0,109.51281648673077,202.63542113340586,3.11952712464781e-08,0.0,0.0004586385078964976
TRAPS learned,16.0,600.0,48.17174693591107,0.735040643558333,0.0,108.61249921503648,201.29845330309485,2.875595856684255e-08,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,600.0,48.08587346795554,0.7337303217791666,0.0,107.67090826072777,199.90075174289248,2.6389640618075757e-08,0.0,0.0001555678767310421
Peppered tag,16.0,600.0,48.0084228515625,0.7325485221862793,0.0,106.82857401277197,198.65087743432355,2.4422892652834082e-08,0.0,1.5258789062499998e-05
Adaptive tag,16.0,600.0,48.00571397783238,0.7325071881592499,0.0,106.79923025075924,198.6073449337596,2.4356823647211275e-08,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,600.0,47.99814799804688,0.7323917407651979,0.0,106.71731386346602,198.4858221171907,2.4173235798608427e-08,0.0001,5.340576171874997e-06
Global Bloom,16.0,625.0,50.263717142040484,0.7669614939411102,0.0,134.41881544084208,239.80058758517575,2.3294798921563253e-07,0.0,0.0004586385078964976
TRAPS learned,16.0,625.0,50.1789030582407,0.7656673370399303,0.0,133.2502687796877,238.05004545673813,2.1400537308866616e-07,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,625.0,50.08945152912035,0.7643024185199653,0.0,132.03045833103988,236.2233422467116,1.9569348703140393e-07,0.0,0.0001555678767310421
Peppered tag,16.0,625.0,50.00877380371094,0.7630713772773743,0.0,130.94122561639486,234.59274084553667,1.805254685948765e-07,0.0,1.5258789062499998e-05
Adaptive tag,16.0,625.0,50.005952060242066,0.7630283209992187,0.0,130.9033146976822,234.53599709207438,1.800167900506022e-07,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,625.0,49.99807083129883,0.7629080632970812,0.0,130.79749418870944,234.37761204453312,1.7860361261684105e-07,0.0001,5.340576171874997e-06
Global Bloom,16.0,650.0,52.274265827722104,0.7976399536987547,0.0,166.1091646843571,287.4671659065712,1.7395189562819675e-06,0.0,0.0004586385078964976
TRAPS learned,16.0,650.0,52.186059180570325,0.7962940305215275,0.0,164.53363422239235,285.0898005891767,1.5926542530085302e-06,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,650.0,52.09302959028517,0.7948745152607639,0.0,162.89292316688275,282.61481329464027,1.4511732622944174e-06,0.0,0.0001555678767310421
Peppered tag,16.0,650.0,52.009124755859375,0.7935942323684693,0.0,161.43123380052623,280.41051925438063,1.3343810364583491e-06,0.0,1.5258789062499998e-05
Adaptive tag,16.0,650.0,52.00619014265175,0.7935494538391874,0.0,161.3804168901532,280.3338960794241,1.3304708844427944e-06,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,650.0,51.99799366455079,0.7934243858289645,0.0,161.23859238174475,280.1200530270505,1.3196102791345454e-06,0.0001,5.340576171874997e-06
Global Bloom,16.0,675.0,54.284814513403724,0.8283184134563991,3.655483853502981,208.3050971001745,351.3490381585651,1.2989707313864392e-05,0.0,0.0004586385078964976
