seed,method,method_kind,bits_per_key,N_keys,N_valid,N_events,N_invalid,N_invalid_unique,N_invalid_repeated,valid_forwarded,valid_rejected,valid_throttled,invalid_forwarded,invalid_forwarded_unique,invalid_forwarded_repeated,invalid_rejected_by_index,invalid_rejected_by_cache,invalid_throttled,raw_invalid_forward_rate,first_seen_invalid_forward_rate,replay_suppression_rate,backend_work_reduction,valid_rejection_rate,backend_invocations,probe_cost
0,RateLimit+Tag,operational,20.0,200000,50000,1050000,1000000,500000,500000,49996,0,4,0,0,0,1000000,0,0,0.0,0.0,0.0,0.952384761904762,8e-05,49996,1.0
0,RateLimit+Tag+NegCache,operational,20.0,200000,50000,1050000,1000000,500000,500000,49998,0,2,0,0,0,500000,500000,0,0.0,0.0,1.0,0.9523828571428572,4e-05,49998,1.0
0,No admission,backend-only,24.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,1000000,500000,500000,0,0,0,1.0,1.0,0.0,0.0,0.0,1050000,0.0
0,Global Bloom,one-sided AMQ,24.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,14,4,10,999986,0,0,1.4e-05,8e-06,0.0,0.952367619047619,0.0,50014,17.0
0,GlobalBloom+NegCache,one-sided AMQ+cache,24.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,4,4,0,499996,500000,0,4e-06,8e-06,1.0,0.9523771428571428,0.0,50004,17.0
0,Hash partition,one-sided AMQ,24.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,10,9,1,999990,0,0,1e-05,1.8e-05,0.0,0.9523714285714285,0.0,50010,17.0
0,Risk partition,one-sided AMQ,24.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,8,3,5,999992,0,0,8e-06,6e-06,0.0,0.9523733333333333,0.0,50008,18.029636057414148
0,TRAPS learned,one-sided AMQ,24.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,9,8,1,999991,0,0,9e-06,1.6e-05,0.0,0.952372380952381,0.0,50009,18.10756528391574
0,TRAPS+ReplayCache,one-sided AMQ+cache,24.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,8,8,0,499992,500000,0,8e-06,1.6e-05,1.0,0.9523733333333333,0.0,50008,18.10756528391574
0,Oracle AMQ,oracle,24.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,7,2,5,999993,0,0,7e-06,4e-06,0.0,0.9523742857142857,0.0,50007,17.977267102286206
