seed,bits_per_key,replay_fraction,occupancy_injection_fraction,method,raw_invalid_forward_rate,first_seen_invalid_forward_rate,valid_rejects
1,16.0,0.5,0.0,Adaptive tag,2.0216184969742916e-05,2.0216184969742916e-05,0
2,16.0,0.5,0.0,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
2,16.0,0.5,0.0,Risk partition,0.0004742829675124989,0.0004742829675124989,0
2,16.0,0.5,0.0,TRAPS learned,0.0005585625685027517,0.0005585625685027517,0
2,16.0,0.5,0.0,TRAPS+ReplayCache,0.00027928128425137584,0.0005585625685027517,0
2,16.0,0.5,0.0,Oracle AMQ,0.000358800361704434,0.000358800361704434,0
2,16.0,0.5,0.0,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
2,16.0,0.5,0.0,Adaptive tag,1.8583237700823646e-05,1.8583237700823646e-05,0
3,16.0,0.5,0.0,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
3,16.0,0.5,0.0,Risk partition,0.00045349520449645346,0.00045349520449645346,0
3,16.0,0.5,0.0,TRAPS learned,0.0004664782147238265,0.0004664782147238265,0
3,16.0,0.5,0.0,TRAPS+ReplayCache,0.00023323910736191324,0.0004664782147238265,0
3,16.0,0.5,0.0,Oracle AMQ,0.00034581935781615705,0.00034581935781615705,0
3,16.0,0.5,0.0,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
3,16.0,0.5,0.0,Adaptive tag,1.5519614158366272e-05,1.5519614158366272e-05,0
4,16.0,0.5,0.0,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
4,16.0,0.5,0.0,Risk partition,0.0004965789199574424,0.0004965789199574424,0
4,16.0,0.5,0.0,TRAPS learned,0.0006920899217067484,0.0006920899217067484,0
4,16.0,0.5,0.0,TRAPS+ReplayCache,0.0003460449608533742,0.0006920899217067484,0
4,16.0,0.5,0.0,Oracle AMQ,0.0003655004277585183,0.0003655004277585183,0
4,16.0,0.5,0.0,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
4,16.0,0.5,0.0,Adaptive tag,2.3025659524403976e-05,2.3025659524403976e-05,0
5,16.0,0.5,0.0,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
5,16.0,0.5,0.0,Risk partition,0.000454877723746437,0.000454877723746437,0
