seed,target_zipf_alpha,risk_shift,bits_per_key,method,first_seen_invalid_forward_rate,probe_cost,backend_reduction,amq_rank,valid_rejects
8,0.4,0.75,12.0,Adaptive tag,0.00023525961890098803,1.0,0.90887703671009,,0
9,0.4,0.75,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
9,0.4,0.75,12.0,Risk partition,0.0031272297835300837,8.567369240688759,0.9062479729240636,3,0
9,0.4,0.75,12.0,TRAPS learned,0.0031073745845649923,8.67699721800022,0.9062660231049409,2,0
9,0.4,0.75,12.0,Oracle AMQ,0.0028674406524436457,8.474251722478183,0.9064841448614148,1,0
9,0.4,0.75,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
9,0.4,0.75,12.0,Adaptive tag,0.00024206431708412518,1.0,0.9088708506208326,,0
0,0.8,0.0,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
0,0.8,0.0,12.0,Risk partition,0.002291211604207771,9.009068927671535,0.9070079894507203,3,0
0,0.8,0.0,12.0,TRAPS learned,0.00212121906471714,9.401895848643964,0.9071625281229845,1,0
0,0.8,0.0,12.0,Oracle AMQ,0.00212121906471714,9.401895848643964,0.9071625281229845,2,0
0,0.8,0.0,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
0,0.8,0.0,12.0,Adaptive tag,0.0001652428538345861,1.0,0.9089406883146959,,0
1,0.8,0.0,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
1,0.8,0.0,12.0,Risk partition,0.002216163159845746,9.342157205153349,0.9070762153092311,3,0
1,0.8,0.0,12.0,TRAPS learned,0.002077382373393981,9.48540016430499,0.907202379660551,1,0
1,0.8,0.0,12.0,Oracle AMQ,0.002077382373393981,9.48540016430499,0.907202379660551,2,0
1,0.8,0.0,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
1,0.8,0.0,12.0,Adaptive tag,0.000161827977880758,1.0,0.9089437927473811,,0
2,0.8,0.0,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
2,0.8,0.0,12.0,Risk partition,0.0022893935512450373,8.96633599251539,0.9070096422261409,3,0
2,0.8,0.0,12.0,TRAPS learned,0.0021272526687705308,9.448296631927086,0.9071570430283904,1,0
2,0.8,0.0,12.0,Oracle AMQ,0.0021272526687705308,9.448296631927086,0.9071570430283904,2,0
2,0.8,0.0,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
2,0.8,0.0,12.0,Adaptive tag,0.00016571287127374352,1.0,0.9089402610261148,,0
3,0.8,0.0,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
3,0.8,0.0,12.0,Risk partition,0.0023781463924991853,9.035617645386626,0.9069289578250007,3,0
3,0.8,0.0,12.0,TRAPS learned,0.002189910055126833,9.287662984739711,0.9071000817680666,1,0
3,0.8,0.0,12.0,Oracle AMQ,0.002189910055126833,9.287662984739711,0.9071000817680666,2,0
3,0.8,0.0,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
3,0.8,0.0,12.0,Adaptive tag,0.000170593878383074,1.0,0.9089358237469245,,0
4,0.8,0.0,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
4,0.8,0.0,12.0,Risk partition,0.002054756513870248,9.497893414587796,0.9072229486237543,3,0
4,0.8,0.0,12.0,TRAPS learned,0.0019550352473020035,9.727848604750797,0.9073136043206346,1,0
4,0.8,0.0,12.0,Oracle AMQ,0.0019550352473020035,9.727848604750797,0.9073136043206346,2,0
4,0.8,0.0,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
4,0.8,0.0,12.0,Adaptive tag,0.00015229714317812243,1.0,0.9089524571425653,,0
5,0.8,0.0,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
5,0.8,0.0,12.0,Risk partition,0.0022387638821046787,8.99385333406237,0.9070556691980867,3,0
5,0.8,0.0,12.0,TRAPS learned,0.0020946311237958143,9.339454583596574,0.9071866989783675,1,0
5,0.8,0.0,12.0,Oracle AMQ,0.0020946311237958143,9.339454583596574,0.9071866989783675,2,0
5,0.8,0.0,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
5,0.8,0.0,12.0,Adaptive tag,0.00016317165463196586,1.0,0.9089425712230619,,0
6,0.8,0.0,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
6,0.8,0.0,12.0,Risk partition,0.0022964600540786406,8.962173786707206,0.9070032181326558,3,0
